        ID,Case Number,Block,IUCR,Primary Type,Description,Location Description,Arrest
10235921,HY228413,054XX S LOOMIS BLVD,2021,NARCOTICS,POSS: BARBITUATES,STREET,TRUE
10235935,HY235534,066XX S UNION AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE
10235945,HY231122,100XX S MAY ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE
10235954,HY231745,066XX S UNION AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10235962,HY232715,007XX N ST LOUIS AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10235983,HY233519,049XX N TALMAN AVE,2022,NARCOTICS,POSS: COCAINE,RESIDENCE,TRUE
10236012,HY233904,070XX W 63RD ST,2032,NARCOTICS,MANU/DELIVER: METHAMPHETAMINES,RESIDENCE,TRUE
10236019,HY234074,015XX S RIDGEWAY AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,TRUE
10236078,HY199665,057XX S THROOP ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE
10236112,HY200393,029XX N SPRINGFIELD AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,APARTMENT,TRUE
10236265,HY240587,006XX N RIDGEWAY AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,TRUE
10236331,HY242277,049XX W NELSON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE
10236381,HY242843,031XX W VAN BUREN ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),PARK PROPERTY,TRUE
10236469,HY243998,012XX S PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,TRUE
10236488,HY244534,055XX S THROOP ST,2015,NARCOTICS,MANU/DELIVER: HALLUCINOGEN,STREET,TRUE
10236508,HY249690,079XX S MUSKEGON AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,VEHICLE NON-COMMERCIAL,TRUE
10237549,HY251902,067XX S MORGAN ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,TRUE
10237579,HY252508,068XX S LOOMIS BLVD,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,RESTAURANT,TRUE
10237609,HY252532,066XX S HALSTED ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,TRUE
10237632,HY253934,068XX S ASHLAND AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,TRUE
10237668,HY255729,041XX S VINCENNES AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,TRUE
10237814,HY257184,007XX E 47TH ST,2024,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT/GARAGE(NON.RESID.),TRUE
10237824,HY257219,047XX S WABASH AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,TRUE
10237878,HY257225,0000X E 36TH PL,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,TRUE
10237927,HY258406,0000X S WHIPPLE ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10237978,HY258747,075XX S MARYLAND AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10238075,HY261081,070XX S BISHOP ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE
10238105,HY261177,020XX W 63RD ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,STREET,TRUE
10238118,HY261824,016XX W 59TH ST,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,TRUE
10238130,HY262457,059XX S HONORE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,TRUE
10238135,HY264524,062XX S HONORE ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,TRUE
10239248,HY414985,006XX W OHARE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,GOVERNMENT BUILDING/PROPERTY,TRUE
10239268,HY408476,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE
10239279,HY262649,039XX S CALUMET AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,TRUE
10239296,HY264282,061XX S BISHOP ST,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,TRUE
10239319,HY265123,059XX S MORGAN ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,GAS STATION,TRUE
10239335,HY265130,059XX S JUSTINE ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,OTHER,TRUE
10239357,HY259858,066XX S HALSTED ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,TRUE
10239396,HY406072,048XX S DREXEL BLVD,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10239411,HY392275,068XX S MARSHFIELD AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,TRUE
10244264,HY256471,100XX W OHARE ST,2091,NARCOTICS,FORFEIT PROPERTY,AIRPORT/AIRCRAFT,TRUE
10244271,HY251097,054XX S HONORE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE
10244282,HY249301,055XX S HONORE ST,2022,NARCOTICS,POSS: COCAINE,RESIDENCE,TRUE
10244296,HY418009,005XX E 61ST ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10244303,HY418911,031XX W POLK ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10244309,HY419152,040XX W MADISON ST,2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,SIDEWALK,TRUE
10244327,HY419622,062XX S ARTESIAN AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,TRUE
10244347,HY419760,066XX S SEELEY AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,TRUE
10245517,HY419808,056XX S LAFLIN ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE
10245538,HY420329,013XX S ALBANY AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10245556,HY420849,011XX S RICHMOND ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
10245596,HY420899,011XX W 64TH ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,TRUE
10245610,HY421554,046XX S PAULINA ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE
10245631,HY422051,069XX S JUSTINE ST,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,TRUE
10365747,HZ100649,019XX N OAKLEY AVE,265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,FALSE
10507711,HZ249461,053XX S INDIANA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE
10507784,HZ249339,001XX S WACKER DR,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,FALSE
10508192,HZ249799,117XX S BISHOP ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE
10508207,HZ249823,0000X S RIVERSIDE PLZ,810,THEFT,OVER $500,OTHER,FALSE
10508291,HZ250030,034XX W JACKSON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE
10509266,HZ250894,014XX N SEDGWICK ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE
10509684,HZ251005,0000X N WALLER AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE
10509824,HZ251293,029XX W PETERSON AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE
10509982,HZ251129,026XX N KEDZIE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,FALSE
10509997,HZ250767,022XX W MARQUETTE RD,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE
10510576,HZ251972,015XX N ASTOR ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE
10511061,HZ252282,016XX S DRAKE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE
10511201,HZ252370,077XX N SHERIDAN RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE
10511207,HZ252319,084XX S VERNON AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE
10511321,HZ252531,014XX E MARQUETTE RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE
10511425,HZ252710,0000X N MENARD AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE
10511438,HZ252237,047XX N LAMON AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE
10511509,HZ251943,025XX N ASHLAND AVE,810,THEFT,OVER $500,APARTMENT,FALSE
10511568,HZ252865,032XX S BELL AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE
10511824,HZ253167,032XX E 89TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,FALSE
10512565,HZ253710,023XX W VAN BUREN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE
10512666,HZ253800,022XX E 96TH ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,OTHER,FALSE
10512671,HZ253948,020XX S CLARK ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE
10513338,HZ254754,018XX S WABASH AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,FALSE
10513682,HZ255119,062XX S WESTERN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE
10518736,HZ260341,074XX N CLARK ST,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,NURSING HOME/RETIREMENT HOME,FALSE
10517966,HZ259454,120XX S UNION AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE
10155028,HY343382,006XX W 37TH ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,BANK,TRUE
10183157,HY370946,033XX W WASHINGTON BLVD,330,ROBBERY,AGGRAVATED,STREET,TRUE
10278007,HY466155,055XX W ALTGELD ST,          041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,TRUE
10323942,HY513669,002XX S LOTUS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE
10324191,HY514074,044XX W MONTROSE AVE,1025,ARSON,AGGRAVATED,OTHER,TRUE
10354617,HY546011,059XX S ARCHER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE
10519954,HZ260151,023XX N KEELER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE
10251237,HY438692,015XX W MORSE AVE,           041A,BATTERY,AGGRAVATED: HANDGUN,STREET,TRUE
10320862,HY509797,010XX E 132ND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,CHA PARKING LOT/GROUNDS,TRUE
10186073,HY373675,075XX N HERMITAGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,TRUE
10347623,HY538449,031XX S HARDING AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,CONVENIENCE STORE,TRUE
10524407,HZ260088,073XX S ASHLAND AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,SIDEWALK,FALSE
10256792,HY437695,007XX N LARAMIE AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,RESIDENCE PORCH/HALLWAY,TRUE
10256807,HY438238,040XX W MADISON ST,2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,SIDEWALK,TRUE
10256828,HY438251,032XX W CONGRESS PKWY,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,PARK PROPERTY,TRUE
10256863,HY438261,014XX W 73RD PL,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,TRUE
10258374,HY296451,029XX W 64TH ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,TRUE
10259202,HY297228,072XX S CALIFORNIA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE
10259562,HY306525,035XX W IRVING PARK RD,2022,NARCOTICS,POSS: COCAINE,RESIDENCE PORCH/HALLWAY,TRUE
10531621,HZ275037,091XX S CHAPPEL AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE
10531733,HZ274554,012XX S AVERS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE
10531846,HZ275406,023XX N KEDZIE BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE
10532978,HZ276387,018XX N SPRINGFIELD AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,"SCHOOL, PUBLIC, BUILDING",FALSE
10532988,HZ276332,020XX E 69TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE
10533138,HZ276234,036XX N BROADWAY,1120,DECEPTIVE PRACTICE,FORGERY,COMMERCIAL / BUSINESS OFFICE,FALSE
10534331,HZ277938,026XX N CLARK ST,1120,DECEPTIVE PRACTICE,FORGERY,BANK,FALSE
10534475,HZ278266,009XX S PARK TER,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE
10534484,HZ277405,0000X N LAVERGNE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE
10534512,HZ278193,056XX S ARTESIAN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE
10534703,HZ278495,081XX S STONY ISLAND AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,FALSE
10536941,HZ280105,012XX S STATE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE
10537107,HZ280616,058XX S WINCHESTER AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE
10263555,HY324884,062XX S WOODLAWN AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,TRUE
9940796,HY129371,042XX W 26TH ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,FALSE
9941897,HY130248,132XX S INDIANA AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE
9943998,HY105781,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,TRUE
9946265,HY134267,042XX N PAULINA ST,820,THEFT,$500 AND UNDER,STREET,FALSE
9950581,HY102056,003XX S ALBANY AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,TRUE
9950604,HY139154,065XX W FULLERTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,DEPARTMENT STORE,FALSE
9950759,HY101930,033XX W CHICAGO AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
9950793,HY101687,067XX S STONY ISLAND AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,PARKING LOT/GARAGE(NON.RESID.),TRUE
9950815,HY106203,010XX N LAWNDALE AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE
